Movielens 100k,RMSE,MAE
SVD,0.8726365932696092,0.6701121786988722
SVD++,0.8625399658455329,0.661004866922973
SVD++,0.8625399658455329,0.661004866922973
NMF,0.9201090199798241,0.7047843918845557
Slope One,0.900204734274511,0.6873852206113458
k-NN,0.9471166109840201,0.726271126059144
Centered k-NN,0.8967353228866244,0.6850206134162746
k-NN Baseline,0.8742495393929165,0.6682207739054299
Co-Clustering,0.9421802361207112,0.7296743191449917
Baseline,0.8727217887595625,0.6728364210692755
Random,1.4231716858339365,1.137160709301733
